Category;Test Case ID;Test Case Description;PreRequisites;Steps;Test Procedures - Steps to Perform;Test Procedures - Step Expected Result;Test Case Expected Result;Actual Result;Status;Type;Note;Platform
User Registration & Login;FT01-001;Successful Registration (Happy Path) & BR3 Account Initialization;Registration Screen Rendered, Valid Email/Password (Pass $\ge 11$ chars, $\ge 1$ special char);1;Enter valid email and click Next;Navigate to Password Screen;User successfully registered, redirected to the Home screen, and the account is initialized correctly according to BR3 (UserID, Email, DisplayName, Role='User', Status='Active', Created Date).;User successfully registered, account initialized with Role=User, Status=Active, DisplayName=email prefix;Not Run;Automation;BR2 (ELSE) & BR3. Consolidates FT01-01, FT01-15, FT01-17, FT01-24, FT01-25, FT01-26.;Frontend/Backend
User Registration & Login;FT01-001;Successful Registration (Happy Path) & BR3 Account Initialization;Registration Screen Rendered, Valid Email/Password (Pass $\ge 11$ chars, $\ge 1$ special char);2;Enter valid password and click Register;Submission successful (API returns 201);User successfully registered, redirected to the Home screen, and the account is initialized correctly according to BR3 (UserID, Email, DisplayName, Role='User', Status='Active', Created Date).;User successfully registered, account initialized with Role=User, Status=Active, DisplayName=email prefix;Not Run;Automation;BR2 (ELSE) & BR3. Consolidates FT01-01, FT01-15, FT01-17, FT01-24, FT01-25, FT01-26.;Frontend/Backend
User Registration & Login;FT01-001;Successful Registration (Happy Path) & BR3 Account Initialization;Registration Screen Rendered, Valid Email/Password (Pass $\ge 11$ chars, $\ge 1$ special char);3;(Backend) Check the user account document in the Database (DB);User document created in DB;User successfully registered, redirected to the Home screen, and the account is initialized correctly according to BR3 (UserID, Email, DisplayName, Role='User', Status='Active', Created Date).;User successfully registered, account initialized with Role=User, Status=Active, DisplayName=email prefix;Not Run;Automation;BR2 (ELSE) & BR3. Consolidates FT01-01, FT01-15, FT01-17, FT01-24, FT01-25, FT01-26.;Frontend/Backend
User Registration & Login;FT01-001;Successful Registration (Happy Path) & BR3 Account Initialization;Registration Screen Rendered, Valid Email/Password (Pass $\ge 11$ chars, $\ge 1$ special char);4;(Backend) Verify all 6 BR3 fields: Role='User', Status='Active', DisplayName='Username', etc.;All 6 BR3 fields have correct values;User successfully registered, redirected to the Home screen, and the account is initialized correctly according to BR3 (UserID, Email, DisplayName, Role='User', Status='Active', Created Date).;User successfully registered, account initialized with Role=User, Status=Active, DisplayName=email prefix;Not Run;Automation;BR2 (ELSE) & BR3. Consolidates FT01-01, FT01-15, FT01-17, FT01-24, FT01-25, FT01-26.;Frontend/Backend
User Registration & Login;FT01-002;Empty/Whitespace Email - MSG_1;EmailScreen component rendered;1;Leave Email field empty OR enter only whitespace characters;Email field accepts input (or remains empty);Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR1:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT01-02 and adds Whitespace check.;Frontend
User Registration & Login;FT01-002;Empty/Whitespace Email - MSG_1;EmailScreen component rendered;2;Click Next button;Submission prevented;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR1:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT01-02 and adds Whitespace check.;Frontend
User Registration & Login;FT01-002;Empty/Whitespace Email - MSG_1;EmailScreen component rendered;3;Observe validation message;MSG_1 displayed;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR1:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT01-02 and adds Whitespace check.;Frontend
User Registration & Login;FT01-003;Empty/Whitespace Password - MSG_1;PasswordScreen rendered;1;Leave Password field empty OR enter only whitespace characters;Password field accepts input (or remains empty);Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR1:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT01-03 and adds Whitespace check.;Frontend
User Registration & Login;FT01-003;Empty/Whitespace Password - MSG_1;PasswordScreen rendered;2;Click Register button;Submission prevented;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR1:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT01-03 and adds Whitespace check.;Frontend
User Registration & Login;FT01-003;Empty/Whitespace Password - MSG_1;PasswordScreen rendered;3;Observe validation message;MSG_1 displayed;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot submit.;Passed;Automation;BR1:  isEmpty(Password)  OR  isOnlyWhitespace(Password) . Consolidates FT01-03 and adds Whitespace check.;Frontend
User Registration & Login;FT01-004;Invalid Email Format - MSG_2;EmailScreen component rendered;1;Enter email NOT following  prefix@domain.extension  structure (e.g., user@.com, user.com);Email input accepted at input stage;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Format) = FALSE . Consolidates FT01-04, FT01-05 (original).;Frontend
User Registration & Login;FT01-004;Invalid Email Format - MSG_2;EmailScreen component rendered;2;Click Next button;Submission prevented;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Format) = FALSE . Consolidates FT01-04, FT01-05 (original).;Frontend
User Registration & Login;FT01-004;Invalid Email Format - MSG_2;EmailScreen component rendered;3;Observe validation message;MSG_2 displayed;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Validation error (MSG_2) displayed: Invalid email structure. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Format) = FALSE . Consolidates FT01-04, FT01-05 (original).;Frontend
User Registration & Login;FT01-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;EmailScreen component rendered;1;Enter email with $\mathbf{\ge 100}$ valid characters;Email input accepted;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT01-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;EmailScreen component rendered;2;Click Next button;Submission prevented;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT01-005;Email Too Long (Length $\mathbf{\ge 100}$ chars) - MSG_3;EmailScreen component rendered;3;Observe validation message;MSG_3 displayed;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Validation error (MSG_3) displayed: Email too long. Cannot proceed.;Passed;Automation;BR1:  isEmailValid(Length $\ge 100$) = FALSE . New Case (Covers missing upper limit check).;Frontend
User Registration & Login;FT01-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;PasswordScreen rendered;1;Enter password with $\mathbf{\le 10}$ characters (e.g., 'pass@1');Password input accepted;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Length $\le 10$) = FALSE . Replaces FT01-06.;Frontend
User Registration & Login;FT01-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;PasswordScreen rendered;2;Click Register button;Submission prevented;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Length $\le 10$) = FALSE . Replaces FT01-06.;Frontend
User Registration & Login;FT01-006;Password Too Short (Length $\mathbf{\le 10}$ chars) - MSG_4;PasswordScreen rendered;3;Observe validation message;MSG_4 displayed;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Validation error (MSG_4) displayed: Password too short ( >10 characters ). Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Length $\le 10$) = FALSE . Replaces FT01-06.;Frontend
User Registration & Login;FT01-007;Password Missing Special Character - MSG_5;PasswordScreen rendered;1;Enter password $\mathbf{\ge 11}$ characters BUT without a special character (e.g., 'Password12345');Password input accepted;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Missing Special Char) = FALSE . Replaces FT01-07.;Frontend
User Registration & Login;FT01-007;Password Missing Special Character - MSG_5;PasswordScreen rendered;2;Click Register button;Submission prevented;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Missing Special Char) = FALSE . Replaces FT01-07.;Frontend
User Registration & Login;FT01-007;Password Missing Special Character - MSG_5;PasswordScreen rendered;3;Observe validation message;MSG_5 displayed;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Validation error (MSG_5) displayed: Password must contain at least one special character. Cannot submit.;Passed;Automation;BR1:  isPasswordValid(Missing Special Char) = FALSE . Replaces FT01-07.;Frontend
User Registration & Login;FT01-008;Email Already Registered (VerifyUser=TRUE) - MSG_6;EmailScreen rendered, Email is pre-registered in DB;1;Enter an email that is already registered in the system;Email input accepted, registration check initiated (BR2);Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Not Run;Automation;BR2 (IF):  VerifyUser = TRUE . Consolidates FT01-08 and FT01-16. (Requires setup of a pre-existing user.);Frontend/Backend
User Registration & Login;FT01-008;Email Already Registered (VerifyUser=TRUE) - MSG_6;EmailScreen rendered, Email is pre-registered in DB;2;Click Next (or Click Register if already past the Password step);Backend verification returns 'User Exists';Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Not Run;Automation;BR2 (IF):  VerifyUser = TRUE . Consolidates FT01-08 and FT01-16. (Requires setup of a pre-existing user.);Frontend/Backend
User Registration & Login;FT01-008;Email Already Registered (VerifyUser=TRUE) - MSG_6;EmailScreen rendered, Email is pre-registered in DB;3;Observe error handling;MSG_6 displayed, user remains on the current screen (no navigation);Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Processing error (MSG_6) displayed: Email already registered. User must remain on the Registration screen.;Not Run;Automation;BR2 (IF):  VerifyUser = TRUE . Consolidates FT01-08 and FT01-16. (Requires setup of a pre-existing user.);Frontend/Backend
User Registration & Login;FT02-001;Successful Login (Happy Path) & Navigate to Home Screen;Login Screen Rendered, Valid and Active User Credentials;1;Enter valid email and password;Credentials accepted at input stage;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;Not Run;Automation;BR5 (ELSE): Happy Path. Consolidates FT02-01, FT02-10, FT02-18, FT02-25. (FT02-08/22 Last Login Date update, FT02-09/23 Session Status check are internal validations within this flow).;Frontend/Backend
User Registration & Login;FT02-001;Successful Login (Happy Path) & Navigate to Home Screen;Login Screen Rendered, Valid and Active User Credentials;2;Click Login button;Submission successful (API returns 200/OK);User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;Not Run;Automation;BR5 (ELSE): Happy Path. Consolidates FT02-01, FT02-10, FT02-18, FT02-25. (FT02-08/22 Last Login Date update, FT02-09/23 Session Status check are internal validations within this flow).;Frontend/Backend
User Registration & Login;FT02-001;Successful Login (Happy Path) & Navigate to Home Screen;Login Screen Rendered, Valid and Active User Credentials;3;(Backend) Verify Last Login Date is updated to current time;Last Login Date is updated;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;Not Run;Automation;BR5 (ELSE): Happy Path. Consolidates FT02-01, FT02-10, FT02-18, FT02-25. (FT02-08/22 Last Login Date update, FT02-09/23 Session Status check are internal validations within this flow).;Frontend/Backend
User Registration & Login;FT02-001;Successful Login (Happy Path) & Navigate to Home Screen;Login Screen Rendered, Valid and Active User Credentials;4;System navigates to the Home Screen;Home Screen is displayed;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;User logs in successfully, Last Login Date is updated, session status is set to Active, and the system navigates the user to the Home Screen.;Not Run;Automation;BR5 (ELSE): Happy Path. Consolidates FT02-01, FT02-10, FT02-18, FT02-25. (FT02-08/22 Last Login Date update, FT02-09/23 Session Status check are internal validations within this flow).;Frontend/Backend
User Registration & Login;FT02-002;Empty/Whitespace Email - MSG_1;Login Screen Rendered;1;Leave Email field empty OR enter only whitespace characters;Email field accepts input (or remains empty);Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR4:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT02-02/FT02-15 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-002;Empty/Whitespace Email - MSG_1;Login Screen Rendered;2;Click Login button;Submission prevented;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR4:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT02-02/FT02-15 and corrects BR label (from BR3 to BR4).;Frontend
User Registration & Login;FT02-002;Empty/Whitespace Email - MSG_1;Login Screen Rendered;3;Observe validation message;MSG_1 displayed;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Validation error (MSG_1) displayed: Email/Password must not be empty or whitespace. Cannot proceed.;Passed;Automation;BR4:  isEmpty(Email)  OR  isOnlyWhitespace(Email) . Consolidates FT02-02/FT02-15 and corrects BR label (from BR3 to BR4).;Frontend
